0,1,2,3,4
1079,815,551,287,17645
1080,816,552,288,3773
1081,817,553,289,25
1082,818,554,290,7590
1083,819,555,291,296
1084,820,555,819,291
1085,821,557,28,292
1086,822,558,294,29
1087,823,559,295,31
1088,824,560,296,32
1089,825,561,297,33
1090,826,562,298,34
1091,827,563,299,35
1092,828,564,300,36
1093,829,565,301,37
1094,830,566,302,38
1095,831,567,303,39
1096,832,568,304,40
1097,833,569,305,41
1098,834,570,306,42
1099,835,571,307,43
1100,836,572,308,44
1101,837,573,309,45
1102,838,574,1903,1637
1103,839,575,311,2171
1104,840,576,312,1312
1105,841,577,313,4193
1106,842,578,4230,4205
1107,843,579,315,51
1108,844,580,315,579
1109,845,581,317,1306
1110,846,582,318,4866
1111,847,583,319,2736
1112,848,584,320,2558
1113,849,585,321,57
1114,850,586,322,58
1115,851,58,587,322
1116,852,588,324,60
1117,853,589,325,61
1118,854,590,61,326
1119,855,591,327,62
1120,856,592,328,855
1121,857,593,329,65
1122,858,594,65,67
1123,859,595,66,330
1124,860,67,596,1122
1125,861,2545,2279,597
1126,862,598,334,5105
1127,863,5442,5430,5367
1128,864,600,5156,5455
1129,865,5778,5944,601
1130,866,3849,3575,602
1131,867,3556,3830,603
1132,868,604,340,5425
1133,869,605,341,5426
1134,870,606,342,5427
1135,871,607,343,2530
1136,872,608,344,1173
1137,873,885,621,910
1138,874,610,899,1150
1139,875,611,347,83
1140,876,612,348,84
1141,877,613,349,85
1142,878,614,350,5110
1143,879,3899,3625,5988
1144,880,3900,616,3626
1145,881,617,196,460
1146,882,618,1242,978
1147,883,619,2558,715
1148,884,620,356,92
1149,4831,885,1162,5130
1150,886,622,1696,921
1151,887,623,359,95
1152,888,624,360,96
1153,889,625,361,97
1154,890,626,362,98
1155,891,627,363,5458
1156,892,628,4824,4525
1157,893,629,1144,2490
1158,894,630,3557,1145
1159,895,631,882,1146
1160,896,632,368,1972
1161,897,672,1211,936
1162,898,1149,885,4831
1163,899,635,1185,1150
1164,900,636,1139,875
1165,901,637,373,14358
1166,902,638,374,1712
1167,903,639,4951,4652
1168,904,640,1434,376
1169,905,641,377,113
1170,906,642,378,2597
1171,907,643,379,1291
1172,908,644,177,441
1173,909,645,381,442
1174,1149,910,885,4831
1175,911,1150,886,647
1176,912,648,384,5654
1177,913,649,5987,6153
1178,914,3863,1034,650
1179,915,3900,651,3087
1180,916,652,388,219
1181,917,653,2527,2261
1182,918,654,3903,1134
1183,919,655,3904,3630
1184,920,5105,4806,5429
1185,921,657,3012,1202
1186,922,658,394,130
1187,923,659,395,131
1188,924,660,396,132
1189,925,661,229,493
1190,1022,758,926,1286
1191,927,1287,663,1023
1192,928,664,1288,617
1193,929,665,401,1277
1194,930,666,402,138
1195,931,667,403,139
1196,932,668,404,140
1197,933,669,405,141
1198,934,670,406,142
1199,935,671,407,143
1200,936,993,2506,672
1201,1149,937,1162,2630
1202,938,2242,2508,2576
1203,939,675,2509,2243
1204,940,2510,2244,676
1205,941,1240,2245,2511
1206,942,678,700,414
1207,943,679,415,1229
1208,944,680,762,498
1209,945,681,763,115
1210,946,682,418,154
1211,947,672,897,408
1212,948,1235,1258,1269
1213,949,2603,1202,1962
1214,950,686,2604,939
1215,951,687,2605,1261
1216,952,688,424,1262
1217,953,689,425,470
1218,954,690,426,162
1219,955,691,162,208
